doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
016ce246-c9ea-5a85-8e8d-8cff53befffb+3,event-7,agent,ss-1,they,تظاهرکنندگان,,[],0,0,0,0,"[41, 41]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-31,patient,ss-10,"more than 7,000",,بیش از ۷۰۰۰ نفر,"['بیش', 'از', '۷۰۰۰', 'نفر']",20,23,87,102,"[19, 21]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-32,patient,ss-11,"more than 2,500",,بیش از ۲ ٫ ۵۰۰ نفر,"['بیش', 'از', '۲', '٫', '۵۰۰', 'نفر']",30,35,126,144,"[28, 30]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+6,event-32,anchor,ss-46,at the hands,از,,[],0,0,0,0,"[31, 33]"
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-31,patient,ss-4,a 24-year-old man,یک مرد ۲۴ ساله,,[],0,0,0,0,"[20, 22]"
02b07905-fc8e-5aae-a233-741242b2f0ab+4,event-12,anchor,ss-29,found not guilty,مجرم شناخته,,[],0,0,0,0,"[10, 12]"
02b07905-fc8e-5aae-a233-741242b2f0ab+6,event-3,patient,ss-5,police,مأموران اورژانس,,[],0,0,0,0,"[24, 24]"
02b07905-fc8e-5aae-a233-741242b2f0ab+9,event-14,patient,ss-3,the defendant,متهمان,,[],0,0,0,0,"[29, 30]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,anchor,ss-50,control,,بازپس گیری,"['بازپس', 'گیری']",2,3,11,21,"[5, 5]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,patient,ss-21,which,,که,['که'],9,9,45,47,"[9, 9]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,agent,ss-11,the ex-Soviet republic,,جمهوری سابق شوروی,"['جمهوری', 'سابق', 'شوروی']",36,38,152,169,"[13, 15]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+3,event-13,agent,ss-1,they,تظاهرکنندگان,آن ها,"['آن', 'ها']",10,11,53,58,"[13, 13]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-7,agent,ss-15,He,,او,['او'],0,0,0,2,"[0, 0]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-6,agent,ss-17,AFP,ان‌بی‌سی,,[],0,0,0,0,"[4, 4]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,South Korean sightseers,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+16,event-32,patient,ss-26,14,,۱۴,['۱۴'],4,4,16,18,"[5, 5]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+2,event-17,anchor,ss-55,bomb,بمب‌ها,,[],0,0,0,0,"[1, 1]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+14,event-44,patient,ss-12,"an estimated 1,700",,حدود ۱۷۰۰ نفر,"['حدود', '۱۷۰۰', 'نفر']",27,29,114,127,"[19, 21]"
