doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,unsupervised_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
016ce246-c9ea-5a85-8e8d-8cff53befffb+1,event-5,agent,ss-1,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,Dozens of Filipino protestors,ها تن از تظاهرکنندگان,ده‌ها تن از تظاهرکنندگان فیلیپینی,ده ها تن از تظاهرکنندگان فیلیپینی,"['ده', 'ها', 'تن', 'از', 'تظاهرکنندگان', 'فیلیپینی']",0,5,0,33,"[0, 3]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+1,event-28,anchor,ss-42,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,killings,قتل,قتل‌های,قتل های,"['قتل', 'های']",16,17,81,88,"[13, 13]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+1,event-21,anchor,ss-35,Dozens of Filipino protestors rallied on Tuesday near the presidential palace against extra-judicial killings amid the government &apos;s anti-drugs campaign .,ده ها تن از تظاهرکنندگان فیلیپینی در روز سه شنبه در نزدیکی کاخ ریاست جمهوری علیه قتل های فراقضایی در میان کمپین ضد مواد مخدر دولت تجمع کردند .,anti-drugs,در,ضد مواد مخدر,ضد مواد مخدر,"['ضد', 'مواد', 'مخدر']",22,24,112,124,"[18, 18]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+4,event-17,anchor,ss-31,"The demonstrators also carried signs with slogans including &apos; Stop the killings &apos; , &apos; lowering of age for criminal liability &apos; , &apos; death penalty &apos; , &apos; extrajudicial killings &apos; .",معترضان همچنین با شعار « دست از کشتار بردارید » ، « کاهش سن برای مسئولیت جنایی » ، « مجازات اعدام » و « قتل های غیرقانونی » همراه بودند .,death penalty,اعدام,مجازات اعدام,مجازات اعدام,"['مجازات', 'اعدام']",20,21,85,97,"[24, 25]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+5,event-27,agent,ss-8,"The protests came a day after officials reported that more than 100 suspected drug dealers and addicts died in clashes with the police over the last month during the second phase of Duterte &apos;s anti-drugs campaign , after it was temporarily suspended in January to launch an investigation into police corruption .",این اعتراضات یک روز پس از آنکه مقامات گزارش دادند که بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون در طی ماه گذشته در درگیری با پلیس در فاز دوم کمپین ضد مواد مخدر دوترته جان خود را از دست دادند ، رخ داد .,more than 100 suspected drug dealers and addicts,و معتادان,بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون,بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون,"['بیش', 'از', '۱۰۰', 'تن', 'از', 'قاچاقچیان', 'مواد', 'مخدر', 'و', 'معتادان', 'مظنون']",11,21,53,105,"[9, 16]"
016ce246-c9ea-5a85-8e8d-8cff53befffb+5,event-30,patient,ss-8,"The protests came a day after officials reported that more than 100 suspected drug dealers and addicts died in clashes with the police over the last month during the second phase of Duterte &apos;s anti-drugs campaign , after it was temporarily suspended in January to launch an investigation into police corruption .",این اعتراضات یک روز پس از آنکه مقامات گزارش دادند که بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون در طی ماه گذشته در درگیری با پلیس در فاز دوم کمپین ضد مواد مخدر دوترته جان خود را از دست دادند ، رخ داد .,more than 100 suspected drug dealers and addicts,و معتادان,بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون,بیش از ۱۰۰ تن از قاچاقچیان مواد مخدر و معتادان مظنون,"['بیش', 'از', '۱۰۰', 'تن', 'از', 'قاچاقچیان', 'مواد', 'مخدر', 'و', 'معتادان', 'مظنون']",11,21,53,105,"[9, 16]"
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-11,patient,ss-3,A man staged a protest on the roof of a house in Lancashire after a woman was cleared of killing a 24-year-old man .,یک مرد پس از اینکه زنی از قتل یک مرد ۲۴ ساله تبرئه شد ، تظاهراتی را روی سقف خانه ای در لانکاشر برگزار کرد .,a woman,یک مرد,زنی,زنی,['زنی'],5,5,19,22,"[14, 15]"
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-31,agent,ss-3,A man staged a protest on the roof of a house in Lancashire after a woman was cleared of killing a 24-year-old man .,یک مرد پس از اینکه زنی از قتل یک مرد ۲۴ ساله تبرئه شد ، تظاهراتی را روی سقف خانه ای در لانکاشر برگزار کرد .,a woman,یک مرد,زنی,زنی,['زنی'],5,5,19,22,"[14, 15]"
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-31,patient,ss-4,A man staged a protest on the roof of a house in Lancashire after a woman was cleared of killing a 24-year-old man .,یک مرد پس از اینکه زنی از قتل یک مرد ۲۴ ساله تبرئه شد ، تظاهراتی را روی سقف خانه ای در لانکاشر برگزار کرد .,a 24-year-old man,یک مرد,یک مرد ۲۴ ساله,,[],0,0,0,0,"[20, 22]"
02b07905-fc8e-5aae-a233-741242b2f0ab+9,event-14,patient,ss-3,"Det Ch Insp Andy Hulme said : &quot; While I respect the decision of the court , naturally I am disappointed with the decision of the jury to clear the defendant on the charge of murder and manslaughter .",بازرس پلیس اندی هولم گفت : « در حالی که به تصمیم دادگاه احترام می گذارم ، طبیعتاً از تصمیم هیئت منصفه برای تبرئه متهمان از اتهام قتل و قتل ناامید هستم .,the defendant,برای تبرئه متهمان,متهمان,,[],0,0,0,0,"[29, 30]"
