doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
016ce246-c9ea-5a85-8e8d-8cff53befffb+3,event-7,agent,ss-1,they,تظاهرکنندگان,,[],0,0,0,0,"[41, 41]"
02b07905-fc8e-5aae-a233-741242b2f0ab+6,event-3,patient,ss-5,police,مأموران اورژانس,,[],0,0,0,0,"[24, 24]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+3,event-13,agent,ss-1,they,تظاهرکنندگان,آن ها,"['آن', 'ها']",10,11,53,58,"[13, 13]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,South Korean sightseers,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+16,event-32,patient,ss-26,14,,۱۴,['۱۴'],4,4,16,18,"[5, 5]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+14,event-44,patient,ss-12,"an estimated 1,700",,حدود ۱۷۰۰ نفر,"['حدود', '۱۷۰۰', 'نفر']",27,29,114,127,"[19, 21]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+7,event-5,agent,ss-1,their,افسران فدرال,شان,['شان'],15,15,69,72,"[13, 13]"
1161595d-23a9-59f3-8aeb-ddab8ce19471+6,event-27,patient,ss-13,full-back Karmichael Hunt,کارمیک هانت,,[],0,0,0,0,"[9, 11]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-10,agent,ss-12,it,وزارت امور خارجه فرانسه,,[],0,0,0,0,"[6, 6]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-34,patient,ss-2,religious minorities,,اقلیت های مذهبی,"['اقلیت', 'های', 'مذهبی']",44,46,214,229,"[52, 53]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+3,event-2,patient,ss-1,The accused,,متهمان,['متهمان'],4,4,15,21,"[0, 1]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+5,event-18,patient,ss-1,The six,,این شش نفر,"['این', 'شش', 'نفر']",0,2,0,10,"[0, 1]"
206ea1ce-50ed-56d9-ab4c-b4235a732af8+2,event-23,anchor,ss-34,ordered departure,خروج منظم,,[],0,0,0,0,"[12, 13]"
206ea1ce-50ed-56d9-ab4c-b4235a732af8+2,event-5,anchor,ss-16,said,آمده‌است,,[],0,0,0,0,"[45, 45]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+1,event-12,patient,ss-3,the country ’ s 120 doctors,پزشک کشور است که در طول شیوع بیماری فوت کرده‌است .,,[],0,0,0,0,"[6, 11]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+5,event-8,anchor,ss-24,articles,کمک,نشریات,['نشریات'],4,4,16,22,"[2, 2]"
2d037849-5f69-5973-a022-8398433d5a82+3,event-14,agent,ss-1,They,,آن ها,"['آن', 'ها']",0,1,0,5,"[0, 0]"
2d037849-5f69-5973-a022-8398433d5a82+3,event-14,agent,ss-6,the university &apos;s vice-chancellor,,معاون رئیس دانشگاه,"['معاون', 'رئیس', 'دانشگاه']",5,7,18,36,"[2, 5]"
2d037849-5f69-5973-a022-8398433d5a82+5,event-2,agent,ss-7,the university,دانشگاه را تنها در صورتی ترک خواهند کرد که دانشگاه,دانشگاه,['دانشگاه'],14,14,63,70,"[8, 9]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+6,event-16,patient,ss-9,botanical garden,باغ وحش,,[],0,0,0,0,"[15, 16]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+10,event-4,agent,ss-14,Sudan &apos;s umbrella protest movement,جنبش اعتراضی چتر سودان,,[],0,0,0,0,"[1, 5]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+7,event-15,patient,ss-12,2.5 million,,۲ ٫ ۵ میلیون نفر,"['۲', '٫', '۵', 'میلیون', 'نفر']",32,36,136,152,"[29, 30]"
36a4a758-690c-5862-88ba-d290aa108569+0,event-14,agent,ss-3,dead people,,مرده ها,"['مرده', 'ها']",10,11,51,58,"[6, 7]"
36a4a758-690c-5862-88ba-d290aa108569+7,event-16,anchor,ss-33,paid into,به حساب‌های بانکی نخست‌وزیر نجیب راسک پرداخت,پرداخت شد,"['پرداخت', 'شد']",35,36,169,178,"[28, 29]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+12,event-25,agent,ss-27,MACC,خود,,[],0,0,0,0,"[10, 10]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+2,event-32,patient,ss-7,the three,,این سه نفر,"['این', 'سه', 'نفر']",12,14,48,58,"[11, 12]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+2,event-33,anchor,ss-52,tactics,تاکتیک‌های,,[],0,0,0,0,"[30, 30]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+9,event-13,agent,ss-18,Binyamin ( Bibi ) Netanyahu,,بنیامین نتانیاهو,"['بنیامین', 'نتانیاهو']",0,1,0,16,"[0, 4]"
44cdb100-1394-5921-8a1e-94c61161cbd4+0,event-16,anchor,ss-32,embezzling,سرقت پول ابولا محکوم شد .,سرقت,['سرقت'],7,7,42,46,"[7, 7]"
5178f231-5917-5d09-a9e5-d304c2c120c7+4,event-7,agent,ss-6,she,که,او,['او'],10,10,49,51,"[2, 2]"
5541ebba-e256-5ca1-ad39-91a97435aed7+0,event-1,agent,ss-3,The Burkinabe,بلغارستان,,[],0,0,0,0,"[0, 1]"
597a893d-1812-5124-b15c-45868b553f76+26,event-85,anchor,ss-154,threw rocks,کرده‌اند,,[],0,0,0,0,"[30, 31]"
597a893d-1812-5124-b15c-45868b553f76+27,event-86,agent,ss-37,Others,,بعضی ها,"['بعضی', 'ها']",0,1,0,7,"[0, 0]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+11,event-11,agent,ss-12,The judge,,او,['او'],0,0,0,2,"[0, 1]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+11,event-27,anchor,ss-41,corrupted,قتل,,[],0,0,0,0,"[7, 7]"
782d694c-9d7d-54ed-b269-b5fb52e74d18+16,event-11,agent,ss-3,a group of young people,,گروهی از جوانان,"['گروهی', 'از', 'جوانان']",6,8,21,36,"[7, 11]"
864dc540-ef75-56eb-807e-948ae4d35162+7,event-8,agent,ss-4,the official,,او,['او'],0,0,0,2,"[6, 7]"
864dc540-ef75-56eb-807e-948ae4d35162+8,event-14,anchor,ss-35,protest,اردوگاه,,[],0,0,0,0,"[21, 21]"
97bd1bd4-8a41-51e4-9130-d9b20977a37e+9,event-22,anchor,ss-40,falling support,حمایت از طلوع طلایی قبل از دور جدید انتخابات در ۱۷ ژوئن کاهش,کاهش یافته است,"['کاهش', 'یافته', 'است']",19,21,90,104,"[4, 5]"
98749ded-9acd-55cb-9bd0-df082f20fee5+1,event-9,patient,ss-2,she,دمنیا امیر,,[],0,0,0,0,"[10, 10]"
98749ded-9acd-55cb-9bd0-df082f20fee5+4,event-17,anchor,ss-30,set off explosives,منفجره را در بخش زنان کلیسای سنت پیتر و سنت پل در قاهره بلافاصله منفجر کرد,مواد منفجره,"['مواد', 'منفجره']",21,22,91,102,"[16, 18]"
9e8e7689-0470-590f-aa95-5db2e90310d5+1,event-1,anchor,ss-23,called for,خواستار تظاهرات روزانه شدند,خواستار,['خواستار'],17,17,69,76,"[3, 4]"
a597d736-3015-53d9-a47d-09ab5187edcc+1,event-15,patient,ss-1,it,دولت تایلند,,[],0,0,0,0,"[15, 15]"
a813a8fa-2efc-5b7d-ac94-4b73fc9b71a3+3,event-30,patient,ss-7,all three,,هر سه نفر,"['هر', 'سه', 'نفر']",3,5,12,21,"[3, 4]"
a813a8fa-2efc-5b7d-ac94-4b73fc9b71a3+6,event-17,patient,ss-3,the government,,دولت,['دولت'],12,12,67,71,"[11, 12]"
aaecf230-a8fd-569a-9e4f-02977513dd68+6,event-18,anchor,ss-27,ban,,ممنوع,['ممنوع'],18,18,74,79,"[13, 13]"
