line,src_span_toks,tgt_span_toks,src_span_start,src_span_end,tgt_span_start,tgt_span_end
0,"['Hong', 'Kong']","['香', '港']",23,24,24,25
0,"['the', 'summer', 'of', '2005']","['的', '夏', '天', '，']",1,4,5,8
1,"['Hong', 'Kong']","['香', '港']",14,15,32,33
2,"['Hong', 'Kong', 'Disneyland']","['香', '港', '迪']",3,5,0,2
2,"['two', 'years', 'ago']","['两', '年', '前']",7,9,13,15
2,['2003'],['年'],12,12,21,21
3,"['Hong', 'Kong']","['香', '港']",7,8,5,6
3,"['200', 'hectares']","['百', '公', '顷']",15,16,32,34
3,"['Disney', 'Corporation']","['迪', '斯', '尼', '公', '司']",13,14,41,45
3,"['Lantau', 'Island']","['大', '屿', '山']",23,24,10,12
3,"['recent', 'years']","['近', '年']",35,36,17,18
3,"['January', 'of', 'that', 'year']","['这', '年']",1,4,0,1
4,"['Hong', 'Kong']","['香', '港']",11,12,10,11
5,"['Hong', 'Kong', 'International', 'Airport']","['香', '港', '国', '际', '机']",7,10,10,14
5,"['Lantau', 'Island']","['大', '屿', '山']",4,5,2,4
6,['Disney'],['迪'],3,3,2,2
7,['Disney'],['迪'],11,11,17,17
7,['first'],['先'],26,26,28,28
8,['Disney'],['迪'],3,3,2,2
8,"['the', 'same', 'day']","['当', '天']",11,13,18,19
11,"['Hong', 'Kong']","['香', '港']",4,5,19,20
11,"['Disney', 'Corporation']","['迪', '斯', '尼', '公', '司']",1,2,0,4
11,['Chinese'],['中'],11,11,8,8
11,['China'],['中'],25,25,33,33
11,['Disney'],['迪'],12,12,11,11
12,"['Hong', 'Kong']","['香', '港']",9,10,2,3
12,"['Hong', 'Kong']","['香', '港']",24,25,15,16
12,"['the', 'Individual', 'Visit', 'Scheme']","['开', '通', '自', '由', '行']",4,7,7,11
13,"['Hong', 'Kong']","['香', '港']",18,19,26,27
13,"['more', 'than', 'seven', 'million']","['七', '百', '多', '万']",7,10,14,17
14,"['about', 'two', 'years']","['两', '年']",7,9,5,6
15,['34'],['个'],6,6,7,7
17,"['the', 'Repulse', 'Bay']","['浅', '水', '湾']",11,13,10,12
18,"['Hong', 'Kong']","['香', '港']",12,13,2,3
19,"['Victoria', 'Harbor']","['维', '多', '利', '亚', '港']",4,5,5,9
20,"['Hong', 'Kong']","['香', '港']",3,4,0,1
21,"['Hong', 'Kong']","['香', '港']",19,20,15,16
22,"['the', 'Ocean', 'Park']","['，', '海', '洋', '公', '园']",6,8,11,15
22,"['the', 'past', '28', 'years']","['的', '二', '十', '八', '年']",1,4,3,7
22,"['Hong', 'Kong']",['港'],21,22,20,20
23,"['the', 'Ocean', 'Theater']","['海', '洋', '剧']",9,11,2,4
24,"['Hong', 'Kong']","['香', '港']",5,6,8,9
24,['Disney'],['尼'],3,3,5,5
24,['Disney'],['尼'],17,17,15,15
24,"['the', 'Ocean', 'Park']","['的', '海', '洋', '公', '园']",8,10,20,24
28,"['several', 'years']","['几', '年']",19,20,27,28
28,"['the', 'North', 'Pole']","['有', '北', '极']",6,8,2,4
28,"['the', 'Marine', 'Life', 'Center']","['有', '北', '极', '的', '景']",10,13,2,6
30,"['ten', 'years']","['十', '年']",5,6,0,1
36,"['the', 'Avenue', 'of', 'Stars']",['。'],3,6,10,10
37,['East'],['东'],4,4,2,2
37,['Hollywood'],['坞'],1,1,7,7
40,"['New', 'World', 'Travel']","['新', '天', '地']",5,7,7,9
41,"['Hong', 'Kong']","['香', '港']",9,10,0,1
41,"['the', 'past', '100', 'years']","['过', '去', '百', '年']",1,4,5,8
42,"['Hong', 'Kong']","['香', '港']",6,7,5,6
43,"['the', 'Avenue', 'of', 'Stars']","['在', '星']",2,5,0,1
44,"['Victoria', 'Harbor']",['港'],7,8,16,16
52,"['Hong', 'Kong']","['香', '港']",13,14,3,4
53,['two'],['两'],17,17,19,19
55,"['Wetland', 'Park']","['湿', '地', '公', '园']",5,6,12,15
59,"['the', 'Wetland', 'Park', 'Exploration', 'Center']","['的', '呃', '探', '索', '中']",2,6,5,9
60,"['Hong', 'Kong']","['香', '港']",10,11,13,14
60,['Shenzhen'],"['香', '港']",15,15,13,14
65,"['Hong', 'Kong']","['香', '港']",11,12,17,18
71,['three'],['三'],4,4,11,11
71,"['Hong', 'Kong', 'Wetland', 'Park']","['香', '港', '湿', '地', '公']",12,15,2,6
73,"['1,500']","['一', '千', '五', '百']",6,6,13,16
75,"['Hong', 'Kong']","['香', '港']",16,17,19,20
75,"['two', 'to', 'three', 'hundred']","['两', '三', '百']",8,11,10,12
76,"['Hong', 'Kong', 'Wetland', 'Park']","['香', '港', '湿', '地', '公']",9,12,8,12
79,"['the', 'year', '2006']","['了', '二', '零', '零', '六']",5,7,4,8
81,"['the', 'Giant', 'Buddha']","['个', '大', '佛']",20,22,31,33
81,"['Ngong', 'Ping', '360']","['昂', '平', '三', '六', '零']",6,8,12,16
82,"['the', 'Avenue', 'of', 'Stars']",['星'],9,12,16,16
83,"['Discover', 'Hong', 'Kong', 'Year']","['旅', '游', '年']",18,21,40,42
83,['2006'],['港'],17,17,39,39
85,"['more', 'than', 'twenty', 'years']","['二', '十', '多', '年']",7,10,6,9
86,['two'],['两'],6,6,11,11
87,"['Hong', 'Kong']","['香', '港']",10,11,9,10
87,"['Lantau', 'Island']","['大', '屿', '山']",4,5,0,2
88,['Buddhism'],['教'],2,2,5,5
88,['Chinese'],['中'],1,1,1,1
88,['five'],['五'],21,21,16,16
88,['five'],['五'],6,6,14,14
88,['Buddhas'],['佛'],22,22,17,17
91,['Buddha'],['佛'],4,4,7,7
91,"['Lantau', 'Island']","['大', '屿', '山']",7,8,9,11
91,"['Hong', 'Kong', 'International', 'Airport']","['港', '赤', '腊', '角', '国']",13,16,26,30
91,['Disneyland'],['园'],22,22,40,40
91,"['Chek', 'Lap', 'Kok']","['赤', '腊', '角']",18,20,27,29
92,"['Lantau', 'Island']","['大', '屿', '山']",4,5,0,2
94,"['Hong', 'Kong']","['香', '港']",14,15,12,13
94,['Zhuhai'],"['珠', '海']",17,17,15,16
94,['Macao'],"['澳', '门']",20,20,18,19
95,['1992'],['年'],1,1,2,2
97,['1999'],['，'],7,7,18,18
98,"['20', 'years']",['年'],2,3,6,6
100,"['Hong', 'Kong']","['香', '港']",5,6,4,5
100,['Macao'],"['澳', '门']",8,8,12,13
100,['Zhuhai'],"['珠', '海']",11,11,20,21
102,"['an', 'hour', 'later']","['一', '个', '小', '时', '后']",33,35,31,35
102,['Macao'],"['澳', '门']",26,26,24,25
102,['Disneyland'],['园'],31,31,45,45
102,['Macao'],['澳'],7,7,2,2
102,['Zhuhai'],"['珠', '港', '澳']",2,2,0,2
103,"['Hong', 'Kong', 'Disneyland']","['香', '港', '迪']",2,4,0,2
104,['Disney'],['迪'],8,8,3,3
104,"['September', '12']","['月', '十']",12,13,11,12
106,['September'],['月'],37,37,30,30
107,['Disneyland'],['迪'],13,13,26,26
109,"['Hong', 'Kong']","['香', '港']",5,6,8,9
113,"['Across', 'China']","['遍', '中', '国', '香', '港']",16,17,8,12
113,"['Hong', 'Kong', ':', 'a', 'Shopping', 'Paradise']","['香', '港', '之', '购', '物']",6,11,11,15
114,['Yinchuan'],"['银', '川', '市']",24,24,27,29
114,['2005'],['五'],3,3,6,6
114,"['Ningxia', '-', 'Taiwan', 'Economic', 'and', 'Trade', 'Cooperation', 'Seminar']","['研', '讨', '会']",10,17,23,25
114,"['Ningxia', 'Investment', 'and', 'Trade', 'Fair']","['宁', '夏', '投', '资', '贸']",4,8,7,11
115,['Taiwanese'],"['台', '商']",21,21,27,28
115,['Ningxia'],"['宁', '夏']",8,8,9,10
116,"['Hot', 'Topic', 'Analysis']","['的', '热', '点', '透']",5,7,2,5
117,['KMT'],"['国', '民', '党']",11,11,16,18
117,['KMT'],"['国', '民', '党']",1,1,0,2
117,"['Lien', 'Chan']","['席', '连', '战']",13,14,20,22
117,"['the', 'afternoon', 'of']",['下'],16,18,8,8
118,"['Wang', 'Jin', '-', 'pyng']","['王', '金', '平']",9,12,12,14
118,"['over', 'an', 'hour']","['多', '小', '时']",5,7,4,6
118,['KMT'],"['国', '民', '党']",22,22,20,22
119,"['Lien', 'Chan']","['连', '战']",6,7,6,7
121,"['Across', 'China']","['遍', '中']",10,11,5,6
122,"['Taihang', 'Mountain']","['太', '行', '山']",3,4,12,14
122,"['the', 'Monument', 'to', 'the', 'Hundred', 'Regiments', 'Offensive']",['碑'],6,12,6,6
123,"['the', 'Great', 'Wall']","['，', '长', '城']",20,22,18,20
124,['two'],['两'],9,9,9,9
124,['three'],['三'],4,4,3,3
125,"['the', 'Eighth', 'Route', 'Army']",['军'],12,15,18,18
125,"['Zhuanbi', 'Village', ',', 'Wuxiang', 'County']","['武', '乡', '县']",2,6,6,8
125,"['Shanxi', 'Province']","['山', '西', '省']",8,9,3,5
126,['European'],['欧'],4,4,6,6
127,['German'],['德'],4,4,6,6
127,['Netherlands'],['荷'],14,14,16,16
127,['France'],['法'],19,19,23,23
127,['Poland'],['波'],11,11,13,13
127,['Czechoslovakia'],['捷'],9,9,10,10
127,['Belgium'],['荷'],16,16,16,16
127,['1940'],['，'],1,1,5,5
128,['Japanese'],['日'],4,4,0,0
128,['May'],['月'],1,1,4,4
129,['Yichang'],"['宜', '昌']",12,12,22,23
129,['China'],['国'],10,10,13,13
129,['one'],['一'],1,1,1,1
130,['Chongqing'],"['重', '庆']",13,13,19,20
130,['Yichang'],"['宜', '昌']",7,7,6,7
131,['Chongqing'],"['重', '庆']",4,4,4,5
132,['Chongqing'],"['重', '庆']",13,13,3,4
133,"['Hong', 'Kong']","['香', '港']",27,28,35,36
133,['KMT'],"['民', '政', '府']",32,32,46,48
135,['Japanese'],['日'],16,16,16,16
135,"['Eighth', 'Route', 'Army']","['八', '路', '军']",1,3,0,2
135,"['North', 'China']",['北'],19,20,12,12
136,"['Zhu', 'De']","['朱', '德']",9,10,15,16
136,"['Lu', 'Zhengcao']","['吕', '正', '操']",29,30,37,39
136,"['December', '1939']","['月', '，']",1,2,7,8
136,"['the', 'Eighth', 'Route', 'Army']",['军'],17,20,11,11
136,"['Peng', 'Dehuai']","['彭', '德', '怀']",14,15,22,24
136,"['the', 'Jizhong', 'Military', 'District']",['区'],32,35,33,33
137,['Japanese'],['日'],5,5,4,4
137,"['the', 'Eighth', 'Route', 'Army']","['得', '八', '路', '军']",38,41,47,50
137,['Jizhong'],"['冀', '中']",19,19,24,25
138,"['the', 'Hundred', 'Regiments', 'Offensive']","['在', '百', '团', '大', '战']",1,4,4,8
138,['China'],['中'],27,27,12,12
138,['1940'],['战'],6,6,8,8
139,['Japan'],['日'],22,22,8,8
142,"['the', 'Eighth', 'Route', 'Army']","['这', '个', '八', '路', '军']",13,16,29,33
142,"['the', 'Chinese', 'Communist', 'Party']","['国', '共', '产', '党']",19,22,23,26
142,"['the', 'Hundred', 'Regiments', 'Offensive']","['叫', '百', '团', '大', '战']",34,37,52,56
143,['Japanese'],['日'],4,4,0,0
143,"['Eighth', 'Route', 'Army']","['八', '路', '军']",16,18,8,10
143,"['Zhu', 'De']","['朱', '德']",10,11,13,14
143,"['Peng', 'Dehuai']","['彭', '德', '怀']",13,14,16,18
146,['three'],['三'],9,9,14,14
146,"['the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",2,5,2,5
147,"['the', 'Zhengtai', 'Railway']",['路'],21,23,28,28
147,"['August', '20']","['八', '月', '二', '十']",2,3,1,4
