line,src_span_toks,tgt_span_toks,src_span_start,src_span_end,tgt_span_start,tgt_span_end
0,"['the', 'summer', 'of', '2005']","['二', '零', '零', '五', '年', '的', '夏', '天']",1,4,0,7
0,"['Hong', 'Kong']","['香', '港']",23,24,24,25
1,"['Hong', 'Kong']","['香', '港']",14,15,32,33
2,"['Hong', 'Kong', 'Disneyland']","['香', '港']",3,5,0,1
2,"['two', 'years', 'ago']","['两', '年', '前']",7,9,13,15
2,['2003'],"['二', '零', '零', '三', '年']",12,12,17,21
3,"['January', 'of', 'that', 'year']","['这', '年', '一', '月']",1,4,0,3
3,"['Hong', 'Kong']","['香', '港', '政', '府']",7,8,5,8
3,"['Lantau', 'Island']","['大', '屿', '山']",23,24,10,12
3,"['200', 'hectares']","['二', '百', '公', '顷']",15,16,31,34
3,"['Disney', 'Corporation']","['迪', '斯', '尼', '公', '司']",13,14,41,45
3,"['recent', 'years']",,35,36,-1,-1
4,"['Hong', 'Kong']","['香', '港']",11,12,10,11
5,"['Lantau', 'Island']","['大', '屿', '山']",4,5,2,4
5,"['Hong', 'Kong', 'International', 'Airport']","['香', '港', '国', '际', '机', '场']",7,10,10,15
6,['Disney'],"['迪', '斯', '尼']",3,3,2,4
7,['Disney'],"['迪', '斯', '尼', '一', '站']",11,11,17,21
7,['first'],,26,26,-1,-1
8,['Disney'],"['迪', '斯', '尼', '地', '铁', '站']",3,3,2,7
8,"['the', 'same', 'day']",,11,13,-1,-1
11,"['Disney', 'Corporation']","['迪', '斯', '尼', '公', '司']",1,2,0,4
11,['Chinese'],"['中', '国']",11,11,8,9
11,['Disney'],"['迪', '斯', '尼', '公', '园']",12,12,11,15
11,"['Hong', 'Kong']","['香', '港']",4,5,19,20
11,['China'],"['中', '国']",25,25,33,34
12,"['Hong', 'Kong']","['香', '港']",9,10,2,3
12,"['Hong', 'Kong']","['香', '港']",24,25,15,16
12,"['the', 'Individual', 'Visit', 'Scheme']",,4,7,-1,-1
13,"['more', 'than', 'seven', 'million']","['七', '百', '多', '万']",7,10,14,17
13,"['Hong', 'Kong']","['香', '港']",18,19,26,27
14,"['about', 'two', 'years']","['两', '年']",7,9,5,6
15,['34'],"['三', '十', '四']",6,6,4,6
17,"['the', 'Repulse', 'Bay']","['浅', '水', '湾']",11,13,10,12
18,"['Hong', 'Kong']","['香', '港']",12,13,2,3
19,"['Victoria', 'Harbor']","['维', '多', '利', '亚', '港']",4,5,5,9
20,"['Hong', 'Kong']","['香', '港']",3,4,0,1
21,"['Hong', 'Kong']","['香', '港']",19,20,15,16
22,"['the', 'Ocean', 'Park']","['海', '洋', '公', '园']",6,8,12,15
22,"['Hong', 'Kong']",['港'],21,22,20,20
22,"['the', 'past', '28', 'years']",,1,4,-1,-1
23,"['the', 'Ocean', 'Theater']","['海', '洋', '剧', '场']",9,11,2,5
24,['Disney'],"['迪', '斯', '尼']",3,3,3,5
24,"['Hong', 'Kong']","['香', '港']",5,6,8,9
24,['Disney'],"['迪', '斯', '尼']",17,17,13,15
24,"['the', 'Ocean', 'Park']","['海', '洋', '公', '园']",8,10,21,24
28,"['the', 'North', 'Pole']","['北', '极']",6,8,3,4
28,"['the', 'Marine', 'Life', 'Center']",,10,13,-1,-1
28,"['several', 'years']",,19,20,-1,-1
30,"['ten', 'years']",,5,6,-1,-1
36,"['the', 'Avenue', 'of', 'Stars']","['星', '光', '大', '道']",3,6,0,3
37,['East'],"['东', '方', '的', '好', '莱', '坞']",4,4,2,7
37,['Hollywood'],,1,1,-1,-1
40,"['New', 'World', 'Travel']","['旅', '游', '新', '天', '地']",5,7,5,9
41,"['Hong', 'Kong']","['香', '港']",9,10,0,1
41,"['the', 'past', '100', 'years']",,1,4,-1,-1
42,"['Hong', 'Kong']","['香', '港']",6,7,5,6
43,"['the', 'Avenue', 'of', 'Stars']","['星', '光', '大', '道']",2,5,1,4
44,"['Victoria', 'Harbor']","['维', '多', '利', '亚', '港']",7,8,12,16
52,"['Hong', 'Kong']","['香', '港', '政', '府']",13,14,3,6
53,['two'],,17,17,-1,-1
55,"['Wetland', 'Park']","['湿', '地', '公', '园']",5,6,12,15
59,"['the', 'Wetland', 'Park', 'Exploration', 'Center']","['湿', '地', '公', '园']",2,6,1,4
60,"['Hong', 'Kong']","['香', '港']",10,11,13,14
60,['Shenzhen'],"['深', '圳']",15,15,22,23
65,"['Hong', 'Kong']","['香', '港']",11,12,17,18
71,"['Hong', 'Kong', 'Wetland', 'Park']","['香', '港', '湿', '地', '公', '园']",12,15,2,7
71,['three'],"['三', '个']",4,4,11,12
73,"['1,500']","['一', '千', '五', '百', '只']",6,6,13,17
75,"['two', 'to', 'three', 'hundred']","['两', '三', '百', '只']",8,11,10,13
75,"['Hong', 'Kong']","['香', '港']",16,17,19,20
76,"['Hong', 'Kong', 'Wetland', 'Park']","['香', '港', '湿', '地', '公', '园']",9,12,8,13
79,"['the', 'year', '2006']","['二', '零', '零', '六', '年']",5,7,5,9
81,"['Ngong', 'Ping', '360']",,6,8,-1,-1
81,"['the', 'Giant', 'Buddha']",,20,22,-1,-1
82,"['the', 'Avenue', 'of', 'Stars']",,9,12,-1,-1
83,['2006'],"['二', '零', '零', '六']",17,17,31,34
83,"['Discover', 'Hong', 'Kong', 'Year']",,18,21,-1,-1
85,"['more', 'than', 'twenty', 'years']",,7,10,-1,-1
86,['two'],,6,6,-1,-1
87,"['Lantau', 'Island']","['大', '屿', '山']",4,5,0,2
87,"['Hong', 'Kong']","['香', '港']",10,11,9,10
88,['Chinese'],"['中', '国']",1,1,1,2
88,['Buddhism'],,2,2,-1,-1
88,['five'],,6,6,-1,-1
88,['five'],,21,21,-1,-1
88,['Buddhas'],,22,22,-1,-1
91,"['Lantau', 'Island']","['大', '屿', '山']",7,8,9,11
91,"['Hong', 'Kong', 'International', 'Airport']","['香', '港', '赤', '腊', '角', '国', '际', '机', '场']",13,16,25,33
91,['Disneyland'],"['迪', '斯', '尼', '乐', '园']",22,22,36,40
91,['Buddha'],,4,4,-1,-1
91,"['Chek', 'Lap', 'Kok']",,18,20,-1,-1
92,"['Lantau', 'Island']","['大', '屿', '山']",4,5,0,2
94,"['Hong', 'Kong']","['香', '港']",14,15,12,13
94,['Zhuhai'],"['珠', '海']",17,17,15,16
94,['Macao'],"['澳', '门']",20,20,18,19
95,['1992'],"['九', '二', '年']",1,1,0,2
97,['1999'],"['一', '九', '九', '九', '年']",7,7,6,10
98,"['20', 'years']","['２', '０', '年']",2,3,4,6
100,"['Hong', 'Kong']","['香', '港']",5,6,4,5
100,['Macao'],"['澳', '门']",8,8,12,13
100,['Zhuhai'],"['珠', '海']",11,11,20,21
102,['Zhuhai'],"['珠', '港', '澳', '大', '桥']",2,2,0,4
102,['Macao'],"['澳', '门']",26,26,24,25
102,"['an', 'hour', 'later']","['一', '个', '小', '时']",33,35,31,34
102,['Disneyland'],"['香', '港', '迪', '斯', '尼', '公', '园']",31,31,39,45
102,['Macao'],,7,7,-1,-1
103,"['Hong', 'Kong', 'Disneyland']","['香', '港', '迪', '斯', '尼', '公', '园']",2,4,0,6
104,['Disney'],"['迪', '斯', '尼']",8,8,3,5
104,"['September', '12']",,12,13,-1,-1
106,['September'],,37,37,-1,-1
107,['Disneyland'],"['迪', '斯', '尼']",13,13,26,28
109,"['Hong', 'Kong']","['香', '港']",5,6,8,9
113,"['Hong', 'Kong', ':', 'a', 'Shopping', 'Paradise']","['香', '港', '之', '购', '物', '天', '堂']",6,11,11,17
113,"['Across', 'China']",,16,17,-1,-1
114,['2005'],"['二', '零', '零', '五']",3,3,3,6
114,"['Ningxia', 'Investment', 'and', 'Trade', 'Fair']","['宁', '夏']",4,8,7,8
114,"['Ningxia', '-', 'Taiwan', 'Economic', 'and', 'Trade', 'Cooperation', 'Seminar']",['宁'],10,17,17,17
114,['Yinchuan'],"['银', '川', '市']",24,24,27,29
115,['Ningxia'],"['宁', '夏']",8,8,9,10
115,['Taiwanese'],"['台', '商']",21,21,27,28
116,"['Hot', 'Topic', 'Analysis']",,5,7,-1,-1
117,['KMT'],"['国', '民', '党']",1,1,0,2
117,"['the', 'afternoon', 'of']","['三', '号', '下', '午']",16,18,6,9
117,['KMT'],"['国', '民', '党']",11,11,16,18
117,"['Lien', 'Chan']","['连', '战']",13,14,21,22
