line,src_span_toks,tgt_span_toks,src_span_start,src_span_end,tgt_span_start,tgt_span_end
0,"['Hong', 'Kong']","['在', '香', '港']",23,24,23,25
0,"['the', 'summer', 'of', '2005']","['夏', '天', '，']",1,4,6,8
1,"['Hong', 'Kong']","['一', '次', '让', '世', '人', '的', '目', '光', '聚', '集', '到', '香', '港']",14,15,21,33
2,"['Hong', 'Kong', 'Disneyland']","['迪', '斯', '尼', '乐', '园']",3,5,2,6
2,"['two', 'years', 'ago']","['二', '零', '零', '三', '年']",7,9,17,21
2,['2003'],"['三', '年', '，']",12,12,20,22
3,"['200', 'hectares']","['二', '百', '公', '顷']",15,16,31,34
3,"['January', 'of', 'that', 'year']","['一', '月']",1,4,2,3
3,"['Hong', 'Kong']","['香', '港']",7,8,5,6
3,"['Lantau', 'Island']","['大', '屿', '山']",23,24,10,12
3,"['Disney', 'Corporation']","['大', '屿', '山', '下', '的', '这', '片', '近', '年', '来', '最', '大', '的', '填', '海', '工', '程']",13,14,10,26
4,"['Hong', 'Kong']","['这', '里', '就', '成', '了', '香', '港']",11,12,5,11
5,"['Hong', 'Kong', 'International', 'Airport']","['大', '屿', '山', '与', '之', '相', '邻', '的', '香', '港', '国', '际', '机', '场']",7,10,2,15
5,"['Lantau', 'Island']","['大', '屿', '山', '与', '之', '相', '邻', '的', '香', '港']",4,5,2,11
6,['Disney'],"['通', '往', '迪']",3,3,0,2
7,['Disney'],"['一', '站', '，', '试', '图', '买', '票', '去', '先', '睹', '为']",11,11,20,30
8,['Disney'],"['但', '是', '迪']",3,3,0,2
11,['China'],"['他', '们', '心', '动', '的', '却', '是', '中', '国']",25,25,26,34
11,"['Hong', 'Kong']","['他', '们', '心', '动', '的', '却', '是', '中', '国']",4,5,26,34
11,['Chinese'],"['他', '们', '心', '动', '的', '却', '是', '中', '国']",11,11,26,34
11,"['Disney', 'Corporation']","['他', '们']",1,2,26,27
11,['Disney'],['他'],12,12,26,26
12,"['Hong', 'Kong']",['港'],9,10,16,16
12,"['Hong', 'Kong']","['从', '香', '港', '和', '内', '地', '开', '通', '自', '由', '行', '后', '，', '来', '香', '港']",24,25,1,16
13,"['more', 'than', 'seven', 'million']","['已', '经', '有', '七', '百', '多', '万']",7,10,11,17
13,"['Hong', 'Kong']","['已', '经', '有', '七', '百', '多', '万', '的', '个', '人', '游', '的', '旅', '客', '来', '香', '港']",18,19,11,27
14,"['about', 'two', 'years']","['在', '差', '不', '多', '两', '年']",7,9,1,6
15,['34'],['三'],6,6,4,4
17,"['the', 'Repulse', 'Bay']","['各', '路', '神', '仙', '的', '浅', '水', '湾']",11,13,5,12
18,"['Hong', 'Kong']","['最', '有', '魅', '力', '的', '阳', '光']",12,13,4,10
19,"['Victoria', 'Harbor']","['维', '多', '利', '亚', '港']",4,5,5,9
20,"['Hong', 'Kong']","['香', '港']",3,4,0,1
21,"['Hong', 'Kong']","['新', '项', '目', '不', '断', '增', '加', '，', '香', '港']",19,20,7,16
22,"['the', 'Ocean', 'Park']","['海', '洋', '公', '园']",6,8,12,15
22,"['Hong', 'Kong']","['二', '十', '八', '年', '时', '间', '里', '，', '海', '洋', '公', '园', '几', '乎', '是', '来', '港']",21,22,4,20
